interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2024-02-17 16:10:00+00:00,2024-02-17 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,39.2,36.1,-0.0,3.1
2024-02-17 18:25:00+00:00,2024-02-17 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,35.6,32.81,-0.0,2.79
2024-02-17 20:40:00+00:00,2024-02-17 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,27.6,25.37,-0.0,2.23
2024-02-17 22:55:00+00:00,2024-02-17 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,30.69,28.21,-0.0,2.48
2024-02-18 01:10:00+00:00,2024-02-18 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,40.7,37.44,-0.0,3.26
2024-02-18 03:25:00+00:00,2024-02-18 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,34.2,31.58,-0.0,2.62
2024-02-18 04:55:00+00:00,2024-02-18 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.91,23.86,-0.0,2.05
2024-02-18 07:10:00+00:00,2024-02-18 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.48,20.93,-0.0,1.55
2024-02-18 09:25:00+00:00,2024-02-18 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.06,19.45,-0.0,1.61
2024-02-18 11:40:00+00:00,2024-02-18 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.01,18.17,1.24,1.6
2024-02-18 13:55:00+00:00,2024-02-18 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,24.11,22.1,-0.0,2.01
2024-02-18 16:10:00+00:00,2024-02-18 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.74,23.44,-0.0,2.3
